,City,Cloudiness,Country,Date,Humidity,Latitude,Max Temp,Wind Speed,longitude
82,butaritari,50,KI,1674492880,79,3.0707,80.49,15.84,172.7902
83,torbay,100,CA,1674492881,90,47.6666,35.28,12.66,-52.7314
84,hope,5,US,1674492881,56,33.6671,46.08,4.94,-93.5916
85,auki,100,SB,1674492881,89,-8.7676,75.87,3.06,160.7034
86,kruisfontein,29,ZA,1674492881,49,-34.0033,85.82,3.87,24.7314
87,eirunepe,91,BR,1674492882,79,-6.6603,81.36,4.16,-69.8736
88,muscat,40,OM,1674492882,52,23.6139,67.33,10.04,58.5922
89,qaanaaq,2,GL,1674492882,54,77.484,-21.42,7.7,-69.3632
90,salinopolis,100,BR,1674492882,84,-0.6136,79.75,12.15,-47.3561
91,somerset,100,US,1674492882,96,40.5668,39.22,4.0,-74.5496
92,avarua,87,CK,1674492882,100,-21.2078,69.85,1.14,-159.775
93,qaqortoq,100,GL,1674492882,61,60.7167,20.59,10.45,-46.0333
94,barrow,100,US,1674492882,95,71.2906,-7.4,15.05,-156.7887
95,airai,100,TL,1674492882,93,-8.9266,60.78,2.15,125.4092
96,port elizabeth,20,ZA,1674492807,72,-33.918,80.31,19.57,25.5701
97,arraial do cabo,20,BR,1674492883,83,-22.9661,89.56,14.97,-42.0278
98,castro,74,BR,1674492884,52,-24.7911,81.88,4.05,-50.0119
99,la rioja,100,ES,1674492884,97,42.25,31.78,10.83,-2.5
100,kahului,1,US,1674492884,91,20.8947,70.84,5.01,-156.47
101,zhezkazgan,67,KZ,1674492885,89,47.8043,0.86,5.64,67.7144
102,emba,42,KZ,1674492885,87,48.8264,7.2,5.84,58.1442
103,bolu,9,TR,1674492885,89,40.6667,41.34,1.88,31.5833
104,chabahar,30,IR,1674492863,35,25.2919,64.72,3.31,60.643
105,beyneu,2,KZ,1674492885,34,45.3167,28.87,8.14,55.2
106,batagay-alyta,96,RU,1674492750,99,67.8006,-30.23,3.74,130.4114
107,ewa beach,20,US,1674492885,87,21.3156,75.15,3.44,-158.0072
108,hokitika,20,NZ,1674492885,89,-42.7167,54.64,3.71,170.9667
109,sao joao da barra,100,BR,1674492886,69,-21.6403,91.49,10.71,-41.0511
110,campbell river,100,CA,1674492881,100,50.0163,38.44,4.61,-125.2446
111,bluff,42,NZ,1674492886,70,-46.6,50.43,2.1,168.3333
112,cidreira,5,BR,1674492728,59,-30.1811,80.11,10.6,-50.2056
113,tasiilaq,100,GL,1674492886,66,65.6145,14.36,6.55,-37.6368
114,williams lake,20,CA,1674492886,95,52.1415,24.37,14.97,-122.1445
115,sola,100,VU,1674492887,80,-13.8833,79.97,19.19,167.55
116,iqaluit,100,CA,1674492887,77,63.7506,-13.27,2.3,-68.5145
117,samarai,89,PG,1674492887,79,-10.6167,82.42,14.97,150.6667
118,kapaa,22,US,1674492887,84,22.0752,68.11,1.01,-159.319
119,hambantota,100,LK,1674492888,84,6.1241,77.25,13.76,81.1185
120,lata,0,PT,1674492888,53,40.1629,53.82,6.58,-8.3327
121,tahe,29,CN,1674492888,82,52.3333,-17.88,7.7,124.7333
122,longyearbyen,40,SJ,1674492888,64,78.2186,28.24,13.8,15.6401
123,valea nucarilor,100,RO,1674492888,81,45.0333,34.38,11.5,28.9333
124,the valley,20,AI,1674492888,65,18.217,82.26,17.27,-63.0578
125,omboue,58,GA,1674492888,75,-1.5746,81.64,7.85,9.2618
126,upernavik,100,GL,1674492888,93,72.7868,-4.97,17.98,-56.1549
127,port alfred,5,ZA,1674492889,86,-33.5906,78.19,4.0,26.891
128,mar del plata,0,AR,1674492606,53,-38.0023,81.82,17.0,-57.5575
129,bengkulu,100,ID,1674492889,94,-3.8004,74.12,8.55,102.2655
130,souillac,75,MU,1674492889,88,-20.5167,77.38,1.14,57.5167
131,da nang,75,VN,1674492672,88,16.0678,73.38,1.14,108.2208
132,bambous virieux,75,MU,1674492889,88,-20.3428,77.25,1.14,57.7575
133,nehe,38,CN,1674492889,92,48.4833,-31.77,4.09,124.8333
134,ribeira grande,20,PT,1674492889,68,38.5167,64.8,25.99,-28.7
135,payo,100,ID,1674492889,98,-3.7508,72.34,1.5,103.6372
136,ilulissat,100,GL,1674492890,95,69.2167,3.83,5.91,-51.1
137,chuy,20,UY,1674492890,50,-33.6971,80.04,15.03,-53.4616
138,puerto ayora,36,EC,1674492890,92,-0.7393,80.56,5.99,-90.3518
139,marawi,100,PH,1674492890,98,7.9986,67.14,1.99,124.2928
140,cayeli,74,TR,1674492890,81,41.0923,51.35,0.31,40.7292
141,port macquarie,95,AU,1674492890,88,-31.4333,64.89,4.27,152.9167
